timestamp,controller,SAT,Vflow_air,Vflow_outdoor_air,ZATsouth,ZATeast,ZATnorth,ZATwest,ZATcore,Toutdoor_air,VAVBoxsouth_damper,VAVBoxwest_damper,VAVBoxnorth_damper,VAVBoxeast_damper,VAVBoxcore_damper,rpmsignal,Tmix,mflow_water,SWT,RWT,hour,occupancy,Tout_1h,Tout_2h,Tout_3h,Tout_4h,action_economizer,action_chiller_valve,action_swt,fan_kwh,chiller_kwh,electric_kwh,zat_violation_c,sat_violation_c,reward,cop
2024-07-16 03:30:00,A2006,20.0,0.0,0.0,23.18240995173442,23.41557012975226,22.92174739415963,23.09746431372689,22.84234751573953,19.45,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,15.0,15.0,3.5,0.0,18.7,18.35,18.0,19.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-16 04:00:00,A2006,19.45,0.0,0.0,23.036951503906373,23.277619473913408,22.77001876142245,22.95132841960918,22.68969187753125,18.9,0.0,0.0,0.0,0.0,0.0,0.0,19.45,0.0,15.0,15.0,4.0,0.0,18.5,18.2,17.8,20.2,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-16 04:30:00,A2006,18.9,0.0,0.0,22.873288686230588,23.121126597587303,22.60036791715844,22.787018640726767,22.519155743042344,18.7,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0,15.0,15.0,4.5,0.0,18.35,18.0,19.0,21.4,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-16 05:00:00,A2006,18.7,0.0,0.0,22.70799069535021,22.962675900695874,22.42935136088631,22.621102801894065,22.347293734605437,18.5,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0,15.0,15.0,5.0,0.0,18.2,17.8,20.2,22.6,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-16 05:30:00,A2006,18.5,0.0,0.0,22.541131114059453,22.80235548516456,22.257030549646426,22.45365317580883,22.174165516548193,18.35,0.0,0.0,0.0,0.0,0.0,0.0,18.5,0.0,15.0,15.0,5.5,0.0,18.0,19.0,21.4,23.8,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-07-16 06:00:00,A2006,18.35,0.0,0.0,22.375030213926777,22.642499488332156,22.085714174912336,22.286988782897435,22.002078068303526,18.2,0.0,0.0,0.0,0.0,0.0,0.0,18.35,0.0,15.0,15.0,6.0,0.0,17.8,20.2,22.6,25.0,0.18,1.0,13.9,0.011557691205625,0.1987878787878788,0.2103455699935038,2.3666081451160306,1.7871633068028792,-4.3641170219124135,4.949999999999999
2024-07-16 06:30:00,A2006,19.890588959453048,0.5224500000000001,0.29538016874999995,22.13933753991364,22.401773940419456,21.874554854142986,22.05248907475172,21.798628300540138,18.0,0.25,0.25,0.25,0.25,0.25,0.1935,21.544338959453047,0.85,13.9,19.900000000000002,6.5,0.0,19.0,21.4,23.8,25.65,0.18,1.0,14.0,0.015800647338346796,0.18970278044103547,0.20550342777938227,2.895740400779639,1.52906770279609,-4.630311531355111,4.966666666666667
2024-07-16 07:00:00,A2006,19.74875252840194,0.8097975000000001,0.45146210624999994,21.927087940615856,22.142556691882685,21.70381835889853,21.84258872630878,21.59246748073487,17.8,0.25,0.25,0.25,0.25,0.25,0.299925,21.32375252840194,0.85,14.0,20.0,7.0,0.0,20.2,22.6,25.0,26.3,0.19428571428571423,1.0,14.0,0.019902754622702398,0.18970278044103547,0.20960553506373786,3.4165570241739207,1.0973596765928686,-4.7235222358305275,4.966666666666667
2024-07-16 07:30:00,A2006,19.481458522263022,0.9678386250000001,0.5395700334374999,21.69574514028076,21.91456630063634,21.527968176320144,21.6204515917362,21.408154742678715,19.0,0.25,0.25,0.25,0.25,0.25,0.35845875,21.05645852226302,0.85,14.0,20.0,7.5,0.0,21.4,23.8,25.65,26.950000000000003,0.18,1.0,13.5,0.022817686888775446,0.23574841540711847,0.25856610229589394,3.8177883713861807,0.7087871540882494,-4.785141627770324,4.883333333333334
2024-07-16 08:00:00,A2006,19.190619296070956,1.05476124375,0.6295606173632813,21.538112661425348,21.74889378392042,21.388009790543013,21.43423968141124,21.25516733992762,20.2,0.25,0.25,0.25,0.25,0.25,0.3906523125,21.159369296070956,0.85,13.5,19.5,8.0,1.0,22.6,25.0,26.3,27.6,0.18,1.0,12.9,0.024640777041065418,0.2931209556993529,0.31776173274041836,4.016466700739709,0.32201549500252813,-4.656243928482656,4.783333333333333
2024-07-16 08:30:00,A2006,18.802515414185333,1.1025686840625,0.7101920536217579,21.468877304130938,21.663425019772003,21.29963140649076,21.360448574374733,21.174684293752147,21.4,0.25,0.25,0.25,0.25,0.25,0.40835877187499997,21.243765414185333,0.85,12.9,18.900000000000002,8.5,1.0,23.8,25.65,26.950000000000003,28.25,0.18,1.0,12.3,0.02571341661471327,0.35294356888662937,0.37865698550134264,4.082457939909034,0.11560784296995606,-4.576722768380332,4.683333333333334
